econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id
5.0,5.0,8.0,6.0,7.0,5.0,5.0,5.0,6.0,2010.0
0.0,5.0,1.0,7.0,5.0,8.0,,3.0,9.0,2003.0
5.0,5.0,8.0,6.0,3.0,5.0,4.0,5.0,5.0,2004.0
5.0,5.0,8.0,6.0,6.0,5.0,6.0,7.0,9.0,2017.0
2.0,5.0,8.0,9.0,10.0,8.0,6.0,7.0,9.0,2014.0
2.0,5.0,8.0,9.0,10.0,8.0,8.0,3.0,9.0,2007.0
2.0,6.0,8.0,9.0,10.0,8.0,6.0,4.0,9.0,2005.0
10.0,2.0,6.0,0.0,2.0,1.0,9.0,9.0,1.0,2018.0
10.0,2.0,6.0,0.0,2.0,1.0,9.0,9.0,1.0,2008.0
10.0,,,,,5.0,5.0,5.0,5.0,2019.0
2.0,7.0,6.0,8.0,8.0,8.0,5.0,5.0,8.0,2010.0
2.0,7.0,5.0,8.0,8.0,8.0,4.0,5.0,8.0,2003.0
4.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,8.0,2004.0
4.0,7.0,6.0,8.0,8.0,8.0,6.0,6.0,8.0,2017.0
1.0,10.0,4.0,10.0,10.0,10.0,9.0,4.0,9.0,2014.0
0.0,8.0,1.0,10.0,10.0,10.0,10.0,2.0,10.0,2007.0
1.0,10.0,4.0,10.0,10.0,10.0,9.0,5.0,9.0,2005.0
6.0,4.0,5.0,4.0,5.0,1.0,6.0,8.0,2.0,2018.0
6.0,5.0,5.0,4.0,6.0,2.0,7.0,8.0,3.0,2008.0
2.0,7.0,3.0,8.0,7.0,7.0,,5.0,8.0,2019.0
4.0,2.0,5.0,8.0,5.0,,7.0,7.0,5.0,2010.0
4.0,3.0,4.0,7.0,6.0,,4.0,4.0,7.0,2003.0
,1.0,5.0,,4.0,,6.0,7.0,7.0,2004.0
3.0,,4.0,9.0,10.0,,4.0,3.0,9.0,2017.0
7.0,,,,,,7.0,5.0,4.0,2014.0
2.0,,3.0,9.0,10.0,9.0,4.0,2.0,9.0,2007.0
2.0,,3.0,9.0,10.0,10.0,3.0,3.0,9.0,2005.0
8.0,7.0,6.0,3.0,5.0,9.0,7.0,7.0,5.0,2018.0
9.0,5.0,7.0,5.0,6.0,9.0,8.0,9.0,6.0,2008.0
,,,10.0,,,,,,2019.0
2.0,6.0,3.0,5.0,7.0,5.0,4.0,4.0,6.0,2010.0
3.0,7.0,1.0,6.0,8.0,7.0,2.0,3.0,7.0,2003.0
1.0,7.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,2004.0
1.0,8.0,0.0,5.0,3.0,6.0,1.0,0.0,7.0,2017.0
1.0,9.0,3.0,8.0,9.0,8.0,8.0,3.0,8.0,2014.0
1.0,8.0,0.0,7.0,10.0,10.0,9.0,1.0,10.0,2007.0
1.0,8.0,2.0,9.0,10.0,10.0,10.0,2.0,10.0,2005.0
6.0,2.0,6.0,0.0,1.0,1.0,5.0,7.0,3.0,2018.0
7.0,5.0,7.0,2.0,4.0,3.0,7.0,9.0,4.0,2008.0
,,,4.0,,5.0,,3.0,,2019.0
6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,2010.0
2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,2003.0
5.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,2004.0
6.0,,7.0,6.0,6.0,6.0,6.0,,7.0,2017.0
5.0,,7.0,8.0,8.0,8.0,9.0,8.0,9.0,2014.0
2.0,,8.0,9.0,10.0,9.0,10.0,9.0,10.0,2007.0
6.0,,8.0,9.0,9.0,9.0,9.0,8.0,10.0,2005.0
