,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,PC1,PC2
0,5,5,8,6,7,5,0.9013073603104378,0.7147806666870283
1,0,5,1,7,5,8,-0.341150984697893,-2.3775518551753367
2,5,5,8,6,3,5,0.25997567383685427,1.0252314651167769
3,5,5,8,6,6,5,0.7409744386920419,0.7923933662944654
4,2,5,8,9,10,8,1.9320130276134053,-0.8256913433312995
5,2,5,8,9,10,8,1.9320130276134053,-0.8256913433312995
6,2,6,8,9,10,8,2.0927429259643096,-0.8478697943646207
7,10,2,6,0,2,1,-1.5893953707447626,2.8802899243931823
8,10,2,6,0,2,1,-1.5893953707447626,2.8802899243931823
9,10,6,8,5,5,5,1.13096979617096,2.1852217964063065
10,2,7,6,8,8,8,1.5072848872974909,-1.0876591057419032
11,2,7,5,8,8,8,1.373463511458163,-1.3195497031623247
12,4,7,6,7,7,6,1.1383600394828501,-0.22923540061912961
13,4,7,6,8,8,8,1.726275976436965,-0.5890794072396164
14,1,10,4,10,10,10,2.518464486776596,-2.395667144443785
15,0,8,1,10,10,10,1.6860450179870676,-3.2962718838895513
16,1,10,4,10,10,10,2.518464486776596,-2.395667144443785
17,6,4,5,4,5,1,-0.7272229948969423,1.0102651879512017
18,6,5,5,4,6,2,-0.27130833831092055,0.8148308514449222
19,2,7,3,8,7,7,0.8106360015443898,-1.6100750125302101
20,4,2,5,8,5,2,-0.5013046757124017,0.09661946452200501
21,4,3,4,7,6,6,0.06746477278218273,-0.5266900917192507
22,6,1,5,6,4,4,-0.6494314175133341,0.6855938124980241
23,3,6,4,9,10,10,1.936656640410179,-1.7174287065262055
24,7,6,5,4,5,5,0.24313969284149026,0.8326253916736188
25,2,5,3,9,10,9,1.3977579850334882,-2.0807875162989284
26,2,5,3,9,10,10,1.5326098216502102,-2.176430702164449
27,8,7,6,3,5,9,1.0287145159660713,0.9999995791317869
28,9,5,7,5,6,9,1.4266632454962747,1.2660343576985418
29,3,6,3,10,10,10,1.9607146066731265,-2.0402642392286348
30,2,6,3,5,7,5,-0.09343559634678354,-1.1237753839198235
31,3,7,1,6,8,7,0.4970630318493166,-1.7202891871633315
32,1,7,2,4,4,4,-0.9497525619791292,-1.2077080616548699
33,1,8,0,5,3,6,-0.7894153215895577,-1.898286314934647
34,1,9,3,8,9,8,1.4781179335299741,-2.154590348928391
35,1,8,0,7,10,10,1.1880811604106514,-3.006037826212806
36,1,8,2,9,10,10,1.7714825962938574,-2.7241465019359783
37,6,2,6,0,1,1,-2.1877104706421067,1.9607432269960454
38,7,5,7,2,4,3,-0.3957427328871482,1.7693739794502779
39,3,7,5,4,8,5,0.4468861777686337,-0.41955055518658757
40,6,5,6,6,5,6,0.5573461465814493,0.5598715344466818
41,2,4,4,3,5,3,-1.1872022178840496,-0.31912624292282776
42,5,5,4,4,5,4,-0.4052545071049375,0.21997673264975248
43,6,4,7,6,6,6,0.690770545688269,0.7363278832929875
44,5,8,7,8,8,8,2.1303227951969337,-0.1300774116013726
45,2,5,8,9,10,9,2.0668648642301273,-0.9213345291968204
46,6,9,8,9,9,9,2.9874337142942955,0.06472376328190539
47,7,3,4,6,5,6,0.07773914277072273,0.3897370909236245
48,8,5,6,7,6,6,1.0945494994415945,0.8898935980595241
49,6,4,4,4,4,1,-1.021377292354666,0.855987290138217
50,4,7,7,6,9,4,1.1652642432232507,0.12966110459946736
51,0,8,0,8,10,10,1.2364649579431894,-3.346272610745957
52,7,7,5,2,8,1,0.029702325376143972,1.1420714558440856
53,8,8,2,9,10,7,2.133395898431851,-0.6921879995814115
54,8,8,7,9,10,9,3.0722064508619336,0.27597861578965466
55,0,9,0,10,10,10,1.7129535404986438,-3.5503409323432944
56,6,9,6,10,10,10,3.1728550629530328,-0.6632582523139038
