"","econ_interven","environment","redistribution","civlib_laworder","immigrate_policy","sociallifestyle","lrgen","lrecon","galtan","party_id","RC1","RC2"
"1",5,5,8,6,7,5,5,5,6,2010,0.153366803440718,0.759964500429594
"2",0,5,1,7,5,8,NA,3,9,2003,0.832231674814841,-1.8760360905255
"3",5,5,8,6,3,5,4,5,5,2004,-0.277374001696981,0.825400542014756
"4",5,5,8,6,6,5,6,7,9,2017,0.0456816021562929,0.776323510825885
"5",2,5,8,9,10,8,6,7,9,2014,1.27734063960754,-0.13256909822545
"6",2,5,8,9,10,8,8,3,9,2007,1.27734063960754,-0.13256909822545
"7",2,6,8,9,10,8,6,4,9,2005,1.36360914114275,-0.104956344871959
"8",10,2,6,0,2,1,9,9,1,2018,-1.9252137053337,1.73983606502107
"9",10,2,6,0,2,1,9,9,1,2008,-1.9252137053337,1.73983606502107
"11",2,7,6,8,8,8,5,5,8,2010,1.18410660428339,-0.43132868474469
"12",2,7,5,8,8,8,4,5,8,2003,1.21530179035676,-0.63889735667387
"13",4,7,6,7,7,6,5,5,8,2004,0.65526692276241,0.118900474122824
"14",4,7,6,8,8,8,6,6,8,2017,1.08357384922263,-0.00217888428833531
"15",1,10,4,10,10,10,9,4,9,2014,2.20435199428328,-1.14407526741776
"16",0,8,1,10,10,10,10,2,10,2007,2.17566692696336,-2.03658169014046
"17",1,10,4,10,10,10,9,5,9,2005,2.20435199428328,-1.14407526741776
"18",6,4,5,4,5,1,6,8,2,2018,-0.746196370325194,0.566379348339058
"19",6,5,5,4,6,2,7,8,3,2008,-0.448327308903897,0.539490032208603
"20",2,7,3,8,7,7,NA,5,8,2019,1.06609160261743,-0.999532631048285
"21",4,2,5,8,5,NA,7,7,5,2010,0.0746036876121038,-0.193840879305047
"22",4,3,4,7,6,NA,4,4,7,2003,0.124612353371642,-0.338835742984875
"24",3,NA,4,9,10,NA,4,3,9,2017,1.6359535861531,-0.7073177813593
"26",2,NA,3,9,10,9,4,2,9,2007,1.72702263195354,-1.14780745958133
"27",2,NA,3,9,10,10,3,3,9,2005,1.81799771532492,-1.19009243167201
"28",8,7,6,3,5,9,7,7,5,2018,0.0994130539871094,1.00922583792338
"29",9,5,7,5,6,9,8,9,6,2008,0.178681704542312,1.30291643329835
"31",2,6,3,5,7,5,4,4,6,2010,0.433619359961462,-0.86555657670779
"32",3,7,1,6,8,7,2,3,7,2003,0.960318782573268,-1.15958562539564
"33",1,7,2,4,4,4,5,2,4,2004,0.0615874546730161,-1.14443307539557
"34",1,8,0,5,3,6,1,0,7,2017,0.423182852246352,-1.62031900351902
"35",1,9,3,8,9,8,8,3,8,2014,1.60818074438874,-1.22974310444972
"36",1,8,0,7,10,10,9,1,10,2007,1.81822271158892,-1.94427277232279
