"","X","econ_interven","environment","redistribution","civlib_laworder","immigrate_policy","sociallifestyle","lrgen","lrecon","galtan","party_id","RC1","RC2"
"1",0,5,5,8,6,7,5,5,5,6,2010,0.18405553678899,0.737428593211206
"2",1,0,5,1,7,5,8,NA,3,9,2003,0.868274177302888,-1.87583476470076
"3",2,5,5,8,6,3,5,4,5,5,2004,-0.249026554314205,0.803973359849232
"4",3,5,5,8,6,6,5,6,7,9,2017,0.0757850140131913,0.754064784870712
"5",4,2,5,8,9,10,8,6,7,9,2014,1.31285872688558,-0.153769169776829
"6",5,2,5,8,9,10,8,8,3,9,2007,1.31285872688558,-0.153769169776829
"7",6,2,6,8,9,10,8,6,4,9,2005,1.39786309651316,-0.126355198193521
"8",7,10,2,6,0,2,1,9,9,1,2018,-1.89778655883806,1.72105134597239
"9",8,10,2,6,0,2,1,9,9,1,2008,-1.89778655883806,1.72105134597239
"10",10,2,7,6,8,8,8,5,5,8,2010,1.21659385053092,-0.447145016260905
"11",11,2,7,5,8,8,8,4,5,8,2003,1.2484054535647,-0.652685084592766
"12",12,4,7,6,7,7,6,5,5,8,2004,0.685684689368124,0.100746670377594
"13",13,4,7,6,8,8,8,6,6,8,2017,1.11579545521953,-0.0214710139744355
"14",14,1,10,4,10,10,10,9,4,9,2014,2.23736642788993,-1.15727807902349
"15",15,0,8,1,10,10,10,10,2,10,2007,2.21319169539183,-2.04156322832893
"16",16,1,10,4,10,10,10,9,5,9,2005,2.23736642788993,-1.15727807902349
"17",17,6,4,5,4,5,1,6,8,2,2018,-0.716134753095727,0.550666786479611
"18",18,6,5,5,4,6,2,7,8,3,2008,-0.418617627217446,0.523455801904158
"19",19,2,7,3,8,7,7,NA,5,8,2019,1.09951590338158,-1.00914026509773
"20",27,8,7,6,3,5,9,7,7,5,2018,0.126850449115247,0.989816619547857
"21",28,9,5,7,5,6,9,8,9,6,2008,0.209612984198,1.2775216268088
"22",30,2,6,3,5,7,5,4,4,6,2010,0.465959738426796,-0.871764816600478
"23",31,3,7,1,6,8,7,2,3,7,2003,0.994298882317657,-1.16481166488969
"24",32,1,7,2,4,4,4,5,2,4,2004,0.090765330815764,-1.14522661132048
"25",33,1,8,0,5,3,6,1,0,7,2017,0.452962626810724,-1.61783807743391
"26",34,1,9,3,8,9,8,8,3,8,2014,1.64070711931894,-1.23841047089261
"27",35,1,8,0,7,10,10,9,1,10,2007,1.85453677239252,-1.9454544044355
"28",36,1,8,2,9,10,10,10,2,10,2005,2.01762511857654,-1.59358219515981
"29",37,6,2,6,0,1,1,5,7,3,2018,-1.80446029099107,0.886339533058951
"30",38,7,5,7,2,4,3,7,9,4,2008,-0.871650395269013,1.20186448591891
"31",40,6,5,6,6,5,6,6,6,5,2010,0.0849807331241728,0.534469076510479
"32",41,2,4,4,3,5,3,3,3,4,2003,-0.387597668615153,-0.552594851729679
"33",42,5,5,4,4,5,4,5,6,5,2004,-0.236192882353959,0.0457373950900634
