"","econ_interven","environment","redistribution","civlib_laworder","immigrate_policy","sociallifestyle","RC1","RC2"
"1",5,2,3,3,5,0,-0.721849721959652,-0.08326894828415
"2",6,4,4,2,3,0,-0.936139804092232,0.419990909554249
"3",4,0,5,4,6,0,-0.683515152496422,-0.041475050563096
"4",2,1,4,5,4,3,-0.304280069227138,-0.718795585556304
"5",6,0,0,3,0,0,-1.33769988702552,-0.375090823415178
"6",5,2,3,6,6,2,-0.133650101478783,-0.241365074626099
"7",7,3,10,0,10,9,-0.00827457636536631,1.34490081056991
"8",3,3,5,3,7,2,-0.229574289873905,-0.230457471916207
"9",5,2,4,4,7,0,-0.448367702362645,0.03718196621854
"10",4,3,6,6,6,6,0.257778325348985,-0.0268168025158855
"11",7,0,5,4,2,0,-1.22153064117216,0.670405506544911
"12",7,2,6,5,6,4,-0.253769587548299,0.689675275938152
"13",4,3,6,10,5,2,0.253415671997371,0.00355021454810103
"14",6,2,4,3,5,8,-0.122554534850663,0.0628841721523642
"15",6,4,3,3,3,0,-0.801987182089721,0.216059098008512
"16",1,0,0,0,4,0,-1.02038023421014,-1.44121037857119
"17",8,1,9,0,9,10,-0.207709308000119,1.31716452123352
"18",5,0,2,2,3,0,-1.15869104582869,-0.256007778962364
"19",5,3,0,3,6,2,-0.29499209454215,-0.664293359776625
"20",2,0,4,3,3,0,-0.951190654615606,-0.582906642191546
"21",1,8,10,3,6,0,-0.117455491668282,0.42545265364721
"22",6,1,3,6,4,2,-0.458826518016891,-0.0204689025967236
"23",3,6,1,6,4,5,0.40961672313208,-0.989944483102117
"24",6,3,4,3,0,1,-1.11434051318351,0.379528862421384
"25",0,4,0,5,10,5,0.89574049699988,-1.93304353737515
"26",7,3,7,6,7,9,0.4282108384498,0.695603530098348
"27",3,1,2,2,3,0,-0.974967473949576,-0.665464414622065
"28",7,3,4,3,4,3,-0.611190401381823,0.47673487878752
"29",2,0,2,3,2,1,-0.909671418638759,-0.952966591872068
"30",8,5,9,3,10,10,0.537986458412663,1.3257588412634
"31",5,0,5,5,3,10,-0.0695570875686024,-0.117508605827994
"32",7,4,8,2,2,0,-1.18968998010115,1.35965624163335
"33",4,6,3,6,5,5,0.401686758589756,-0.433141543558255
"34",7,3,4,6,7,8,0.423317717547804,0.196226998170989
"35",6,3,7,7,0,7,-0.256071561613222,0.6151367316975
"36",5,4,3,5,6,5,0.175962978176969,-0.255128547581929
"37",5,3,4,4,5,3,-0.305329160838968,-0.00060616348146738
"38",3,4,4,4,5,4,-0.0369943576537883,-0.44112010615156
"39",3,2,2,0,0,0,-1.39715986567835,-0.541219642869552
"40",7,3,0,0,9,0,-0.600286025705022,-0.129076306174024
"41",10,5,5,5,5,6,-0.0622387469400119,1.19720206377764
"42",5,5,5,2,10,4,0.182095845528501,0.178577206020709
"43",5,3,3,3,7,3,-0.193861571374881,-0.179536744470969
"44",7,0,6,2,10,1,-0.608752732280898,0.753441210006454
"45",3,2,8,10,10,1,0.566188352817154,0.0711862427803178
"46",8,1,5,2,2,3,-1.15219909205846,0.875418904274871
"47",4,1,4,2,6,9,-0.0289215522067214,-0.417417071415135
"48",10,5,0,10,10,0,0.582043986562485,0.290787265002783
"49",4,2,4,4,7,3,-0.143512048572886,-0.273790251686367
"50",6,3,4,6,5,7,0.197253641582735,0.0387238415510554
"51",4,4,5,0,7,0,-0.690878815825037,0.156962992765533
"52",10,0,0,10,5,5,0.115514871086403,0.0778805226205289
"53",5,2,3,7,3,2,-0.314782389740118,-0.224625856660811
"54",5,0,0,0,5,5,-0.705174514900708,-0.73991564274992
"55",9,4,6,0,8,1,-0.791712685079459,1.37709853314801
"56",7,0,5,2,0,0,-1.62916528277168,0.753886403587958
"57",3,3,5,3,9,7,0.385956671186993,-0.414983840211572
"58",7,1,3,3,5,0,-0.905573293838762,0.326187687375551
"59",5,6,2,7,2,2,-0.0577284799933138,-0.282241387333977
"60",4,0,4,0,10,0,-0.702312514105244,-0.168283869096541
"61",5,3,8,3,6,1,-0.592184953592421,0.781254184401101
"62",7,6,8,6,5,6,0.200368592941056,1.07325843828213
"63",7,5,5,5,10,0,0.0643467561645787,0.657045432110276
"64",5,3,0,0,5,0,-0.88319171502302,-0.506197233434675
"65",4,0,4,6,4,3,-0.380423722571762,-0.336459481796424
"66",5,2,7,1,3,10,-0.389662864370567,0.396883997238647
"67",4,1,7,2,7,0,-0.773903342100156,0.377912613994438
"68",10,7,2,4,4,0,-0.530646040900091,0.947140431599284
"69",6,2,3,9,10,0,0.353794840702078,-0.101291425917858
"70",3,1,7,6,2,0,-0.773748719417034,0.124729772629938
"71",0,10,10,10,0,10,1.11867310168575,-0.152757020723444
"72",3,0,5,1,8,7,-0.17047952455529,-0.424554734053513
"73",3,2,3,0,3,0,-1.13502036235056,-0.408268113088745
"74",3,5,5,5,6,3,0.137318680507888,-0.248848009929014
"75",3,0,10,0,0,10,-0.926988484633878,0.51040960801834
