"","econ_interven","environment","redistribution","civlib_laworder","immigrate_policy","sociallifestyle","RC1","RC2"
"1",5,2,3,3,5,0,-0.722998754754304,-0.0826304023788097
"2",6,4,4,2,3,0,-0.940637358403884,0.423578326051377
"3",4,0,5,4,6,0,-0.684428540871839,-0.042171835193338
"4",2,1,4,5,4,3,-0.30293565573174,-0.72067953378374
"5",6,0,0,3,0,0,-1.33956416127041,-0.374587384111518
"6",5,2,3,6,6,2,-0.131589696933065,-0.244176279809542
"7",7,3,10,0,10,9,-0.0156987258030678,1.35373604727882
"8",3,3,5,3,7,2,-0.229887391420031,-0.229626455363898
"9",5,2,4,4,7,0,-0.448503744322509,0.0365887821800179
"10",4,3,6,6,6,6,0.258318020762626,-0.0277136830388832
"11",7,0,5,4,2,0,-1.2264808568687,0.671897164819705
"12",7,2,6,5,6,4,-0.25621899883092,0.690590993598579
"13",4,3,6,10,5,2,0.256341278773099,-0.00260773518221924
"14",6,2,4,3,5,8,-0.124408597679014,0.0658646175060423
"15",6,4,3,3,3,0,-0.8047936737857,0.218000009985929
"16",1,0,0,0,4,0,-1.01939789564332,-1.44011960726326
"17",8,1,9,0,9,10,-0.215378265016778,1.32596969257556
"18",5,0,2,2,3,0,-1.16089051456825,-0.254545158518154
"19",5,3,0,3,6,2,-0.292808285806082,-0.664692614714634
"20",2,0,4,3,3,0,-0.952346937585964,-0.582921895471553
"21",1,8,10,3,6,0,-0.121421017312415,0.428656857788177
"22",6,1,3,6,4,2,-0.45847974003768,-0.0225892248155784
"23",3,6,1,6,4,5,0.414025991092224,-0.992595327927618
"24",6,3,4,3,0,1,-1.11949991181248,0.382650667931842
"25",0,4,0,5,10,5,0.905231925762672,-1.93805012875925
"26",7,3,7,6,7,9,0.426772302895156,0.696668968841416
"27",3,1,2,2,3,0,-0.97585418153762,-0.664596009617094
"28",7,3,4,3,4,3,-0.61469980800469,0.479636239186772
"29",2,0,2,3,2,1,-0.909525066532675,-0.953458508520852
"30",8,5,9,3,10,10,0.533400587078718,1.33155766081628
"31",5,0,5,5,3,10,-0.0708550285539759,-0.116394550374924
"32",7,4,8,2,2,0,-1.19881040905585,1.36571145159358
"33",4,6,3,6,5,5,0.404246993114176,-0.434730747688931
"34",7,3,4,6,7,8,0.424367495795369,0.195740785650781
"35",6,3,7,7,0,7,-0.259903831875175,0.615974876512421
"36",5,4,3,5,6,5,0.177534606281029,-0.255782957411162
"37",5,3,4,4,5,3,-0.306192502140147,5.80365442629684e-05
"38",3,4,4,4,5,4,-0.0364443168645028,-0.440864165809889
"39",3,2,2,0,0,0,-1.40125584651841,-0.537021331150404
"40",7,3,0,0,9,0,-0.600509923479344,-0.126219145073948
"41",10,5,5,5,5,6,-0.066032770683799,1.20009085348059
"42",5,5,5,2,10,4,0.18147113507514,0.181433571669458
"43",5,3,3,3,7,3,-0.193642134084412,-0.17863219269381
"44",7,0,6,2,10,1,-0.61192993516991,0.755973844854949
"45",3,2,8,10,10,1,0.570535390686044,0.0639107289529766
"46",8,1,5,2,2,3,-1.15913191041856,0.880453824455924
"47",4,1,4,2,6,9,-0.0297038200667401,-0.414309113014939
"48",10,5,0,10,10,0,0.588721262046425,0.283088574835566
"49",4,2,4,4,7,3,-0.142699208417679,-0.274224590030217
"50",6,3,4,6,5,7,0.197801933476362,0.0381483408010163
"51",4,4,5,0,7,0,-0.694505709098091,0.16159876513188
"52",10,0,0,10,5,5,0.119981926706736,0.0713316954572697
"53",5,2,3,7,3,2,-0.313465727895606,-0.227884800883607
"54",5,0,0,0,5,5,-0.705753206475451,-0.736546850930738
"55",9,4,6,0,8,1,-0.79881308979515,1.3841227564118
"56",7,0,5,2,0,0,-1.63681955191868,0.758256296326325
"57",3,3,5,3,9,7,0.387194559048825,-0.413718733979581
"58",7,1,3,3,5,0,-0.908035087784931,0.32742044872013
"59",5,6,2,7,2,2,-0.0559978920381188,-0.28489240803471
"60",4,0,4,0,10,0,-0.703579492281659,-0.165662173020537
"61",5,3,8,3,6,1,-0.597005591771715,0.784310828396171
"62",7,6,8,6,5,6,0.19677349927448,1.0753284137994
"63",7,5,5,5,10,0,0.0645097764648355,0.656382199829008
"64",5,3,0,0,5,0,-0.884217343627321,-0.503146737283902
"65",4,0,4,6,4,3,-0.379563985859259,-0.338940487268298
"66",5,2,7,1,3,10,-0.395961654214411,0.404081262503487
"67",4,1,7,2,7,0,-0.77765619079525,0.380464821558005
"68",10,7,2,4,4,0,-0.53376943715152,0.949394563899843
"69",6,2,3,9,10,0,0.359587006603974,-0.10864071728426
"70",3,1,7,6,2,0,-0.776161923122459,0.123357090628467
"71",0,10,10,10,0,10,1.11905118628014,-0.15453646669365
"72",3,0,5,1,8,7,-0.171477915452491,-0.421270721013547
"73",3,2,3,0,3,0,-1.13840749436784,-0.404358103177889
"74",3,5,5,5,6,3,0.138275871391465,-0.249558083035779
"75",3,0,10,0,0,10,-0.93701952717099,0.519701676572551
"76",10,0,6,0,10,0,-1.06846473073047,1.49806676061096
"77",5,4,5,4,7,2,-0.143118972165404,0.20480816273206
"78",5,4,5,5,5,5,0.0259018982289922,0.113617826722548
"79",5,3,5,3,5,7,-0.103188777778259,0.0821509475888628
"80",3,2,2,3,4,0,-0.688986459321557,-0.681427789580146
"81",6,9,8,7,6,7,0.783418802287484,0.862121535717054
"82",5,5,2,8,8,9,1.14426276962034,-0.64485802421382
"83",7,3,3,3,4,2,-0.671975978534631,0.333241078960035
"84",6,7,9,10,5,10,1.07518459201275,0.824010769272164
"85",0,10,0,3,10,0,0.755046906877808,-1.56898304857464
"86",7,7,5,7,7,9,0.91684516799271,0.419215284455053
"87",5,3,4,4,9,0,-0.173282680387671,0.0332010456306539
"88",6,3,3,6,0,0,-0.8515520736331,0.151320093954608
"89",2,2,4,5,8,0,-0.08832745928819,-0.66118873890709
"90",5,5,5,5,5,5,0.107600272920065,0.139965612512806
"91",8,0,2,0,0,0,-1.82299749174944,0.501279689492075
"92",4,7,4,6,4,5,0.36174834146829,-0.216248689246912
"93",3,0,0,1,7,0,-0.724043817214116,-1.076636058467
"94",4,1,5,0,6,2,-0.866938473303157,0.035680466420492
"95",2,0,9,0,5,0,-1.2212266656269,0.358610553349067
"96",5,2,7,8,3,10,0.362894366107338,0.205898630418995
"97",6,8,4,3,1,0,-0.698958545980249,0.530393186968535
"98",5,1,5,6,3,3,-0.473731616674922,0.0977408896183198
"99",2,5,4,8,8,0,0.48199167349435,-0.667080795286811
"100",10,0,5,7,10,10,0.564945493756534,0.813904104492395
"101",3,3,2,4,7,9,0.553810622343433,-1.00583725317973
"102",0,0,0,0,3,0,-1.06449026109542,-1.64345116453805
"103",7,0,7,5,0,4,-1.02761949765944,0.904368500518879
"104",5,2,5,5,0,0,-1.04486083548766,0.289617817267147
"105",7,3,1,3,2,8,-0.302356190878134,-0.176784529195513
"106",7,3,10,6,2,5,-0.47818887433956,1.42629271415717
"107",6,1,3,0,2,0,-1.47187415119012,0.238759827535462
"108",1,1,10,1,5,10,-0.159768468127843,0.00700021504105582
"109",10,2,7,4,3,5,-0.752641802579063,1.56449919725205
"110",5,1,7,2,3,3,-0.962234991717503,0.565521130916213
"111",10,0,0,0,10,0,-0.90385064044001,0.434467691719262
