,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
0,5,5,8,6,7,5,5,5,6,2010.0,2010.0,2010.0
1,0,5,1,7,5,8,4,3,9,2003.0,2003.0,2003.0
2,5,5,8,6,3,5,4,5,5,2004.0,2004.0,2004.0
3,5,5,8,6,6,5,6,7,9,2017.0,2017.0,2017.0
4,2,5,8,9,10,8,6,7,9,2014.0,2014.0,2014.0
5,2,5,8,9,10,8,8,3,9,2007.0,2007.0,2007.0
6,2,6,8,9,10,8,6,4,9,2005.0,2005.0,2005.0
7,10,2,6,0,2,1,9,9,1,2018.0,2018.0,2018.0
8,10,2,6,0,2,1,9,9,1,2008.0,2008.0,2008.0
9,10,6,8,5,5,5,5,5,5,2019.0,2019.0,2019.0
10,2,7,6,8,8,8,5,5,8,2010.0,2010.0,2010.0
11,2,7,5,8,8,8,4,5,8,2003.0,2003.0,2003.0
12,4,7,6,7,7,6,5,5,8,2004.0,2004.0,2004.0
13,4,7,6,8,8,8,6,6,8,2017.0,2017.0,2017.0
14,1,10,4,10,10,10,9,4,9,2014.0,2014.0,2014.0
15,0,8,1,10,10,10,10,2,10,2007.0,2007.0,2007.0
16,1,10,4,10,10,10,9,5,9,2005.0,2005.0,2005.0
17,6,4,5,4,5,1,6,8,2,2018.0,2018.0,2018.0
18,6,5,5,4,6,2,7,8,3,2008.0,2008.0,2008.0
19,2,7,3,8,7,7,9,5,8,2019.0,2019.0,2019.0
20,4,2,5,8,5,2,7,7,5,2010.0,2010.0,2010.0
21,4,3,4,7,6,6,4,4,7,2003.0,2003.0,2003.0
22,6,1,5,6,4,4,6,7,7,2004.0,2004.0,2004.0
23,3,6,4,9,10,10,4,3,9,2017.0,2017.0,2017.0
24,7,6,5,4,5,5,7,5,4,2014.0,2014.0,2014.0
25,2,5,3,9,10,9,4,2,9,2007.0,2007.0,2007.0
26,2,5,3,9,10,10,3,3,9,2005.0,2005.0,2005.0
27,8,7,6,3,5,9,7,7,5,2018.0,2018.0,2018.0
28,9,5,7,5,6,9,8,9,6,2008.0,2008.0,2008.0
29,3,6,3,10,10,10,4,4,9,2019.0,2019.0,2019.0
30,2,6,3,5,7,5,4,4,6,2010.0,2010.0,2010.0
31,3,7,1,6,8,7,2,3,7,2003.0,2003.0,2003.0
32,1,7,2,4,4,4,5,2,4,2004.0,2004.0,2004.0
33,1,8,0,5,3,6,1,0,7,2017.0,2017.0,2017.0
34,1,9,3,8,9,8,8,3,8,2014.0,2014.0,2014.0
35,1,8,0,7,10,10,9,1,10,2007.0,2007.0,2007.0
36,1,8,2,9,10,10,10,2,10,2005.0,2005.0,2005.0
37,6,2,6,0,1,1,5,7,3,2018.0,2018.0,2018.0
38,7,5,7,2,4,3,7,9,4,2008.0,2008.0,2008.0
39,3,7,5,4,8,5,4,3,5,2019.0,2019.0,2019.0
40,6,5,6,6,5,6,6,6,5,2010.0,2010.0,2010.0
41,2,4,4,3,5,3,3,3,4,2003.0,2003.0,2003.0
42,5,5,4,4,5,4,5,6,5,2004.0,2004.0,2004.0
43,6,4,7,6,6,6,6,5,7,2017.0,2017.0,2017.0
44,5,8,7,8,8,8,9,8,9,2014.0,2014.0,2014.0
45,2,5,8,9,10,9,10,9,10,2007.0,2007.0,2007.0
46,6,9,8,9,9,9,9,8,10,2005.0,2005.0,2005.0
47,7,3,4,6,5,6,6,7,7,2018.0,2018.0,2018.0
48,8,5,6,7,6,6,7,7,8,2008.0,2008.0,2008.0
49,6,4,4,4,4,1,5,5,3,2019.0,2019.0,2019.0
50,4,7,7,6,9,4,7,8,7,2010.0,2010.0,2010.0
51,0,8,0,8,10,10,3,2,8,2003.0,2003.0,2003.0
52,7,7,5,2,8,1,6,6,3,2004.0,2004.0,2004.0
53,8,8,2,9,10,7,6,7,8,2017.0,2017.0,2017.0
54,8,8,7,9,10,9,7,7,8,2014.0,2014.0,2014.0
55,0,9,0,10,10,10,2,2,9,2007.0,2007.0,2007.0
56,6,9,6,10,10,10,6,7,10,2005.0,2005.0,2005.0
57,7,3,4,3,9,1,6,7,1,2018.0,2018.0,2018.0
58,8,8,8,7,9,8,8,8,6,2008.0,2008.0,2008.0
59,3,1,3,9,10,10,10,3,10,2019.0,2019.0,2019.0
60,10,9,6,8,9,9,6,5,2,2010.0,2010.0,2010.0
61,3,7,1,7,9,10,2,1,5,2003.0,2003.0,2003.0
62,3,7,3,3,9,10,3,2,10,2004.0,2004.0,2004.0
63,8,8,5,9,9,10,5,6,9,2017.0,2017.0,2017.0
64,2,10,2,10,10,10,1,1,10,2014.0,2014.0,2014.0
65,2,10,2,10,10,10,1,1,10,2007.0,2007.0,2007.0
66,2,7,2,10,10,10,1,1,10,2005.0,2005.0,2005.0
67,8,6,5,1,8,2,7,7,1,2018.0,2018.0,2018.0
68,9,8,5,1,8,2,7,7,1,2008.0,2008.0,2008.0
69,8,3,3,2,8,5,5,6,5,2019.0,2019.0,2019.0
70,8,8,8,8,6,7,8,8,7,2010.0,2010.0,2010.0
71,4,8,4,8,7,8,5,5,7,2003.0,2003.0,2003.0
72,5,5,5,5,4,5,5,5,3,2004.0,2004.0,2004.0
73,10,8,10,10,10,10,9,8,10,2017.0,2017.0,2017.0
