,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id,party_id,party_id,party_id
0,5.0,5.0,8.0,6.0,7.0,5.0,5.0,5.0,6.0,2010.0,2010.0,2010.0,2010.0
1,0.0,5.0,1.0,7.0,5.0,8.0,,3.0,9.0,2003.0,2003.0,2003.0,2003.0
2,5.0,5.0,8.0,6.0,3.0,5.0,4.0,5.0,5.0,2004.0,2004.0,2004.0,2004.0
3,5.0,5.0,8.0,6.0,6.0,5.0,6.0,7.0,9.0,2017.0,2017.0,2017.0,2017.0
4,2.0,5.0,8.0,9.0,10.0,8.0,6.0,7.0,9.0,2014.0,2014.0,2014.0,2014.0
5,2.0,5.0,8.0,9.0,10.0,8.0,8.0,3.0,9.0,2007.0,2007.0,2007.0,2007.0
6,2.0,6.0,8.0,9.0,10.0,8.0,6.0,4.0,9.0,2005.0,2005.0,2005.0,2005.0
7,10.0,2.0,6.0,0.0,2.0,1.0,9.0,9.0,1.0,2018.0,2018.0,2018.0,2018.0
8,10.0,2.0,6.0,0.0,2.0,1.0,9.0,9.0,1.0,2008.0,2008.0,2008.0,2008.0
9,10.0,,,,,5.0,5.0,5.0,5.0,2019.0,2019.0,2019.0,2019.0
10,2.0,7.0,6.0,8.0,8.0,8.0,5.0,5.0,8.0,2010.0,2010.0,2010.0,2010.0
11,2.0,7.0,5.0,8.0,8.0,8.0,4.0,5.0,8.0,2003.0,2003.0,2003.0,2003.0
12,4.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,8.0,2004.0,2004.0,2004.0,2004.0
13,4.0,7.0,6.0,8.0,8.0,8.0,6.0,6.0,8.0,2017.0,2017.0,2017.0,2017.0
14,1.0,10.0,4.0,10.0,10.0,10.0,9.0,4.0,9.0,2014.0,2014.0,2014.0,2014.0
15,0.0,8.0,1.0,10.0,10.0,10.0,10.0,2.0,10.0,2007.0,2007.0,2007.0,2007.0
16,1.0,10.0,4.0,10.0,10.0,10.0,9.0,5.0,9.0,2005.0,2005.0,2005.0,2005.0
17,6.0,4.0,5.0,4.0,5.0,1.0,6.0,8.0,2.0,2018.0,2018.0,2018.0,2018.0
18,6.0,5.0,5.0,4.0,6.0,2.0,7.0,8.0,3.0,2008.0,2008.0,2008.0,2008.0
19,2.0,7.0,3.0,8.0,7.0,7.0,,5.0,8.0,2019.0,2019.0,2019.0,2019.0
20,4.0,2.0,5.0,8.0,5.0,,7.0,7.0,5.0,2010.0,2010.0,2010.0,2010.0
21,4.0,3.0,4.0,7.0,6.0,,4.0,4.0,7.0,2003.0,2003.0,2003.0,2003.0
22,,1.0,5.0,,4.0,,6.0,7.0,7.0,2004.0,2004.0,2004.0,2004.0
23,3.0,,4.0,9.0,10.0,,4.0,3.0,9.0,2017.0,2017.0,2017.0,2017.0
24,7.0,,,,,,7.0,5.0,4.0,2014.0,2014.0,2014.0,2014.0
25,2.0,,3.0,9.0,10.0,9.0,4.0,2.0,9.0,2007.0,2007.0,2007.0,2007.0
26,2.0,,3.0,9.0,10.0,10.0,3.0,3.0,9.0,2005.0,2005.0,2005.0,2005.0
27,8.0,7.0,6.0,3.0,5.0,9.0,7.0,7.0,5.0,2018.0,2018.0,2018.0,2018.0
28,9.0,5.0,7.0,5.0,6.0,9.0,8.0,9.0,6.0,2008.0,2008.0,2008.0,2008.0
29,,,,10.0,,,,,,2019.0,2019.0,2019.0,2019.0
30,2.0,6.0,3.0,5.0,7.0,5.0,4.0,4.0,6.0,2010.0,2010.0,2010.0,2010.0
31,3.0,7.0,1.0,6.0,8.0,7.0,2.0,3.0,7.0,2003.0,2003.0,2003.0,2003.0
32,1.0,7.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,2004.0,2004.0,2004.0,2004.0
33,1.0,8.0,0.0,5.0,3.0,6.0,1.0,0.0,7.0,2017.0,2017.0,2017.0,2017.0
34,1.0,9.0,3.0,8.0,9.0,8.0,8.0,3.0,8.0,2014.0,2014.0,2014.0,2014.0
35,1.0,8.0,0.0,7.0,10.0,10.0,9.0,1.0,10.0,2007.0,2007.0,2007.0,2007.0
36,1.0,8.0,2.0,9.0,10.0,10.0,10.0,2.0,10.0,2005.0,2005.0,2005.0,2005.0
37,6.0,2.0,6.0,0.0,1.0,1.0,5.0,7.0,3.0,2018.0,2018.0,2018.0,2018.0
38,7.0,5.0,7.0,2.0,4.0,3.0,7.0,9.0,4.0,2008.0,2008.0,2008.0,2008.0
39,,,,4.0,,5.0,,3.0,,2019.0,2019.0,2019.0,2019.0
40,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,2010.0,2010.0,2010.0,2010.0
41,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,2003.0,2003.0,2003.0,2003.0
42,5.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,2004.0,2004.0,2004.0,2004.0
43,6.0,,7.0,6.0,6.0,6.0,6.0,,7.0,2017.0,2017.0,2017.0,2017.0
44,5.0,,7.0,8.0,8.0,8.0,9.0,8.0,9.0,2014.0,2014.0,2014.0,2014.0
45,2.0,,8.0,9.0,10.0,9.0,10.0,9.0,10.0,2007.0,2007.0,2007.0,2007.0
46,6.0,,8.0,9.0,9.0,9.0,9.0,8.0,10.0,2005.0,2005.0,2005.0,2005.0
47,7.0,3.0,4.0,6.0,5.0,6.0,6.0,7.0,7.0,2018.0,2018.0,2018.0,2018.0
48,8.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,8.0,2008.0,2008.0,2008.0,2008.0
49,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
50,4.0,7.0,7.0,6.0,9.0,4.0,7.0,8.0,7.0,2010.0,2010.0,2010.0,2010.0
51,0.0,8.0,0.0,8.0,10.0,10.0,3.0,2.0,8.0,2003.0,2003.0,2003.0,2003.0
52,7.0,7.0,5.0,2.0,8.0,1.0,6.0,6.0,3.0,2004.0,2004.0,2004.0,2004.0
53,8.0,8.0,2.0,9.0,10.0,7.0,6.0,7.0,8.0,2017.0,2017.0,2017.0,2017.0
54,8.0,8.0,7.0,9.0,10.0,9.0,7.0,7.0,8.0,2014.0,2014.0,2014.0,2014.0
55,0.0,9.0,0.0,10.0,10.0,10.0,2.0,2.0,9.0,2007.0,2007.0,2007.0,2007.0
56,6.0,9.0,6.0,10.0,10.0,10.0,6.0,7.0,10.0,2005.0,2005.0,2005.0,2005.0
57,7.0,3.0,4.0,3.0,9.0,1.0,6.0,7.0,1.0,2018.0,2018.0,2018.0,2018.0
58,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,6.0,2008.0,2008.0,2008.0,2008.0
59,,,,,10.0,10.0,,,,2019.0,2019.0,2019.0,2019.0
60,10.0,9.0,6.0,8.0,9.0,9.0,6.0,5.0,2.0,2010.0,2010.0,2010.0,2010.0
61,3.0,7.0,1.0,7.0,9.0,10.0,2.0,1.0,5.0,2003.0,2003.0,2003.0,2003.0
62,3.0,7.0,3.0,3.0,9.0,10.0,3.0,2.0,10.0,2004.0,2004.0,2004.0,2004.0
63,8.0,8.0,5.0,9.0,9.0,10.0,5.0,6.0,9.0,2017.0,2017.0,2017.0,2017.0
64,2.0,,2.0,10.0,10.0,10.0,1.0,1.0,10.0,2014.0,2014.0,2014.0,2014.0
65,2.0,,2.0,10.0,10.0,10.0,1.0,1.0,10.0,2007.0,2007.0,2007.0,2007.0
66,2.0,,2.0,10.0,10.0,10.0,1.0,1.0,10.0,2005.0,2005.0,2005.0,2005.0
67,8.0,,5.0,1.0,8.0,2.0,7.0,7.0,1.0,2018.0,2018.0,2018.0,2018.0
68,9.0,8.0,5.0,1.0,8.0,2.0,7.0,7.0,1.0,2008.0,2008.0,2008.0,2008.0
69,,,,,,,,,5.0,2019.0,2019.0,2019.0,2019.0
70,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,7.0,2010.0,2010.0,2010.0,2010.0
71,4.0,8.0,4.0,8.0,7.0,8.0,5.0,5.0,7.0,2003.0,2003.0,2003.0,2003.0
72,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2004.0,2004.0,2004.0,2004.0
73,10.0,8.0,10.0,,,10.0,9.0,8.0,10.0,2017.0,2017.0,2017.0,2017.0
74,10.0,10.0,,10.0,10.0,10.0,9.0,8.0,10.0,2014.0,2014.0,2014.0,2014.0
75,3.0,10.0,,10.0,10.0,10.0,9.0,,10.0,2007.0,2007.0,2007.0,2007.0
76,10.0,10.0,,10.0,10.0,10.0,9.0,9.0,10.0,2005.0,2005.0,2005.0,2005.0
77,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2018.0,2018.0,2018.0,2018.0
78,6.0,6.0,6.0,6.0,4.0,5.0,8.0,8.0,4.0,2008.0,2008.0,2008.0,2008.0
79,,,,10.0,,,8.0,,7.0,2019.0,2019.0,2019.0,2019.0
80,7.0,3.0,5.0,5.0,7.0,5.0,6.0,6.0,4.0,2010.0,2010.0,2010.0,2010.0
81,2.0,8.0,6.0,6.0,5.0,6.0,3.0,2.0,6.0,2003.0,2003.0,2003.0,2003.0
