,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle
0,5.0,2.0,3.0,3.0,5.0,0.0
1,6.0,4.0,4.0,2.0,3.0,0.0
2,4.0,0.0,5.0,4.0,6.0,0.0
3,2.0,1.0,4.0,5.0,4.0,3.0
4,6.0,0.0,0.0,3.0,0.0,0.0
5,5.0,2.0,3.0,6.0,6.0,2.0
6,7.0,3.0,10.0,0.0,10.0,9.0
7,3.0,3.0,5.0,3.0,7.0,2.0
8,5.0,2.0,4.0,4.0,7.0,0.0
9,4.0,3.0,6.0,6.0,6.0,6.0
10,7.0,0.0,5.0,4.0,2.0,0.0
11,7.0,2.0,6.0,5.0,6.0,4.0
12,4.0,3.0,6.0,10.0,5.0,2.0
13,6.0,2.0,4.0,3.0,5.0,8.0
14,6.0,4.0,3.0,3.0,3.0,0.0
16,1.0,0.0,0.0,0.0,4.0,0.0
17,8.0,1.0,9.0,0.0,9.0,10.0
18,5.0,0.0,2.0,2.0,3.0,0.0
19,5.0,3.0,0.0,3.0,6.0,2.0
20,2.0,0.0,4.0,3.0,3.0,0.0
21,1.0,8.0,10.0,3.0,6.0,0.0
22,6.0,1.0,3.0,6.0,4.0,2.0
23,3.0,6.0,1.0,6.0,4.0,5.0
24,6.0,3.0,4.0,3.0,0.0,1.0
25,0.0,4.0,0.0,5.0,10.0,5.0
26,7.0,3.0,7.0,6.0,7.0,9.0
27,3.0,1.0,2.0,2.0,3.0,0.0
29,7.0,3.0,4.0,3.0,4.0,3.0
30,2.0,0.0,2.0,3.0,2.0,1.0
31,8.0,5.0,9.0,3.0,10.0,10.0
33,5.0,0.0,5.0,5.0,3.0,10.0
34,7.0,4.0,8.0,2.0,2.0,0.0
35,4.0,6.0,3.0,6.0,5.0,5.0
36,7.0,3.0,4.0,6.0,7.0,8.0
37,6.0,3.0,7.0,7.0,0.0,7.0
38,5.0,4.0,3.0,5.0,6.0,5.0
39,5.0,3.0,4.0,4.0,5.0,3.0
40,3.0,4.0,4.0,4.0,5.0,4.0
41,3.0,2.0,2.0,0.0,0.0,0.0
42,7.0,3.0,0.0,0.0,9.0,0.0
43,10.0,5.0,5.0,5.0,5.0,6.0
44,5.0,5.0,5.0,2.0,10.0,4.0
45,5.0,3.0,3.0,3.0,7.0,3.0
46,7.0,0.0,6.0,2.0,10.0,1.0
47,3.0,2.0,8.0,10.0,10.0,1.0
48,8.0,1.0,5.0,2.0,2.0,3.0
49,4.0,1.0,4.0,2.0,6.0,9.0
51,10.0,5.0,0.0,10.0,10.0,0.0
52,4.0,2.0,4.0,4.0,7.0,3.0
53,6.0,3.0,4.0,6.0,5.0,7.0
54,4.0,4.0,5.0,0.0,7.0,0.0
55,10.0,0.0,0.0,10.0,5.0,5.0
