"respid","hCountry","countrycode","Q9_ees_numeric","lrgen_selfdescription","econ_interven","redistribution","sociallifestyle","civlib_laworder","immigrate_policy_reversed","environment","immigrate_policy","econ_interven_factor","environment_factor","redistribution_factor","civlib_laworder_factor","immigrate_policy_factor","sociallifestyle_factor","prediction_lm_lrgen1","prediction_lm_lrgen2","prediction_polr_lrgen1","prediction_polr_lrgen2","prediction_rf_lrgen1","prediction_rf_lrgen2","prediction_rf_lrgen2_unrounded","prediction_lm_lrecon1","prediction_polr_lrecon1","prediction_rf_lrecon1","prediction_rf_lrecon2","prediction_rf_lrecon2_unrounded","prediction_lm_galtan1","prediction_polr_galtan1","prediction_rf_galtan1","prediction_rf_galtan2","prediction_rf_galtan2_unrounded"
"7762","1","1040",NA,3,5,3,0,3,5,2,5,"5","2","3","3","5","0",4,4,4,4,4,4,4.06806134109515,4,4,5,5,4.66303654047241,2,3,0,2,2.30647059962789
"7801","1","1040",1040600,4,6,4,0,2,7,4,3,"6","4","4","2","3","0",4,4,4,4,5,4,4.44671695887189,5,5,6,6,5.76211342434091,1,2,0,1,1.3333884806064
"7904","1","1040",NA,3,4,5,0,4,4,0,6,"4","0","5","4","6","0",4,5,4,5,5,4,4.45719237558864,4,5,5,5,4.66692124770354,3,5,0,2,2.13175601691688
"9223","1","1040",NA,3,2,4,3,5,6,1,4,"2","1","4","5","4","3",4,4,4,4,3,4,3.57036624350519,3,3,4,4,3.69656730236478,4,5,4,4,3.79329461504028
"9338","1","1040",1040320,1,6,0,0,3,10,0,0,"6","0","0","3","0","0",3,3,2,2,2,3,3.02721646070503,3,3,2,3,3.23562978563431,1,1,0,1,1.06849486358753
"99","1","1040",1040320,5,5,3,2,6,4,2,6,"5","2","3","6","6","2",5,5,5,5,5,5,4.56656147662452,4,4,5,5,4.66303654047241,4,5,4,4,4.08983641827772
"9672","1","1040",1040520,8,7,10,9,0,0,3,10,"7","3","10","0","10","9",8,7,8,7,9,8,7.60580867404548,8,8,8,8,7.65261415519276,7,3,10,7,7.39109259708757
"9753","1","1040",1040420,7,3,5,2,3,3,3,7,"3","3","5","3","7","2",5,5,5,5,4,5,4.7322741459988,4,4,4,5,4.56640130441889,4,5,3,4,3.76620753356135
"9989","1","1040",1040423,1,5,4,0,4,3,2,7,"5","2","4","4","7","0",5,5,5,5,5,4,4.49913838689753,5,5,5,5,4.87674866628613,3,5,4,3,2.96046401659126
"10559","1","1040",1040520,7,4,6,6,6,4,3,6,"4","3","6","6","6","6",6,6,6,6,5,5,5.41986202381311,5,5,6,5,5.23161601059269,6,5,6,6,6.2937738214052
"10722","1","1040",1040320,2,7,5,0,4,8,0,2,"7","0","5","4","2","0",5,5,5,5,5,5,4.63982047877336,6,6,5,5,5.25288455236068,2,2,0,2,1.76717625656857
"10882","1","1040",NA,4,7,6,4,5,4,2,6,"7","2","6","5","6","4",6,6,7,7,6,6,6.15961249533964,6,7,6,6,6.24034341468324,5,5,5,5,4.80066373681136
